ANO;UF;VAGA;NOME;NOME_URNA;DEFERIMENTO;NÚMERO;PARTIDO;NOME_PARTIDO;COLIGAÇÃO;NOME_COLIGAÇÃO;PROFISSÃO;GÊNERO;ENSINO;ESTADO_CIVIL;NACIONALIDADE;NATURALIDADE;MUNICÍPIO;SITUAÇÃO_FINAL
2018;RJ;DEPUTADO FEDERAL;ANDREIA ALMEIDA ZITO DOS SANTOS;ANDREIA ZITO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PSD;PARTIDO ISOLADO;OUTROS;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;DUQUE DE CAXIAS;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;SILVERCLEIA DE OLIVEIRA PINTO DUARTE;SILVER OLIVEIRA;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;PSC / PROS;POR UM RIO FELIZ;DONA DE CASA;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;MARCOS FERREIRA DE MENEZES;MARQUINHO DA SAÚDE;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;PARTIDO ISOLADO;SERVIDOR PÚBLICO MUNICIPAL;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIROB;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;JOSÉ LIPORAGE TEIXEIRA;JOSÉ LIPORAGE;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;PSL;PARTIDO ISOLADO;SERVIDOR PÚBLICO FEDERAL;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;OTONI ROCHA NETO;ROCHINHA;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;PARTIDO ISOLADO;EMPRESÁRIO;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;NEILA NASCIMENTO DE FREITAS LIMA DOS REIS;NEILA RIBEIRO;DEFERIDO;19;PODE;PODEMOS;PODE / PPL;O POVO NO PODER;OUTROS;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;ANDERSON BRAGA MIRANDA;DINHO DA FARMÁCIA;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;PODE / PR;JUNTOS PELO RIO;VEREADOR;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;SÃO JOÃO DE MERITI;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;GLAUCIO DE OLIVEIRA AMANCIO;GLAUCIO TIBERIO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;PMB;PARTIDO ISOLADO;POLICIAL MILITAR;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;RAPHAEL GATTÁS BARA DE ALMEIDA;RAPHAEL GATTÁS;DEFERIDO;11;PP;PROGRESSISTAS;PP;PARTIDO ISOLADO;ADVOGADO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;WELLINGTON PINHEIRO DOS SANTOS;WELLINGTON PUDIM;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;PSC;PARTIDO ISOLADO;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;CARLOS DA SILVA ANTONIO;CARLOS ANTONIO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;PR;PARTIDO ISOLADO;OUTROS;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO ;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;SILVIO NUNES DE MEDEIROS;SILVIO NUNES DE MEDEIROS;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;PRB;PARTIDO ISOLADO;ADVOGADO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;EDEN COSME DA SILVA;EDEN SILVA;DEFERIDO;19;PODE;PODEMOS;PODE / PPL;O POVO NO PODER;OUTROS;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;ANDERSON DO AMARAL DE SOUZA;ANDERSON AMARAL;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;PMN;PARTIDO ISOLADO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRASILEIRA NATA;RJ;ITABORAI;NÃO ELEITO
2018;RJ;DEPUTADO ESTADUAL;GEORGE MOURA MENDES;GEORGE MENDES;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;PV / DC;Rio Sustentável;OUTROS;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRASILEIRA NATA;RJ;DUQUE DE CAXIAS;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;ALTAIR BATISTA JÚNIOR;JÚNIOR DO KARATÊ;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;PRB;PARTIDO ISOLADO;EMPRESÁRIO;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;MG;BELO HORIZONTE;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;LUIZ EDUARDO LAGO CARDOSO DE CASTRO;DUDA CASTRO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;PSL;PARTIDO ISOLADO;VETERINÁRIO;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;LUCIANE JERONIMO PEREIRA DA SILVA;LUCIANE SILVA;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;PTC;PARTIDO ISOLADO;PROFESSOR DE ENSINO MÉDIO;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;FATIMA REGINA CARVALHO DA SILVA;FÁTIMA DA URUGUAIANA;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;SOLIDARIEDADE / PTB;TRABALHAR PARA MUDAR;COMERCIANTE;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;TARCIO VALTÃO CARVALHO;TARCIO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;PR;PARTIDO ISOLADO;EMPRESÁRIO;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;PETROPOLIS;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;PAULO MARCELO RIBEIRO DA SILVA;DR PAULO MARCELO;DEFERIDO;51;PATRI;PATRIOTA;PATRI;PARTIDO ISOLADO;MÉDICO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;CAMPOS DOS GOYTACAZES;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;PAULO GONTIJO OLINTO RAMOS;PAULO GONTIJO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;PPS / PSDB;O RIO SEM CRISE;EMPRESÁRIO;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;CHRISTINO ÁUREO DA SILVA;CHRISTINO AUREO;DEFERIDO;11;PP;PROGRESSISTAS;DEM / MDB / PP / PTB;O RIO QUER PAZ;DEPUTADO;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRASILEIRA NATA;RJ;MACAÉ;ELEITO POR MÉDIA
2018;RJ;DEPUTADO ESTADUAL;WASHINGTON LUIZ BHERING;WASHINGTON  COMUNIDADE;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;PR;PARTIDO ISOLADO;SERVIDOR PÚBLICO CIVIL APOSENTADO;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;SÃO JOÃO DE MERITI;SUPLENTE
